Data/Hora, Temperatura Externa, Temperatura Interna, Temperatura Referencia, Sinal de Controle
2021-09-06 21:20:10, 30.161, 52.812, 54.000, 0%
2021-09-06 21:20:12, 30.162, 52.812, 54.000, 0%
2021-09-06 21:20:14, 30.164, 53.062, 54.000, 0%
2021-09-06 21:20:16, 30.165, 53.312, 54.000, 0%
2021-09-06 21:20:18, 30.167, 53.312, 54.000, 0%
2021-09-06 21:20:20, 30.169, 53.500, 54.000, 0%
2021-09-06 21:20:22, 30.171, 53.688, 54.000, 0%
2021-09-06 21:20:24, 30.172, 53.688, 54.000, 0%
2021-09-06 21:20:26, 30.174, 54.000, 54.000, 0%
2021-09-06 21:20:28, 30.175, 54.125, 54.000, 0%
2021-09-06 21:20:30, 30.176, 54.125, 54.000, 0%
2021-09-06 21:20:32, 30.177, 54.250, 54.000, 0%
2021-09-06 21:20:34, 30.178, 54.375, 54.000, 0%
2021-09-06 21:20:36, 30.179, 54.375, 54.000, 0%
2021-09-06 21:20:38, 30.180, 54.438, 54.000, 0%
2021-09-06 21:20:40, 30.181, 54.562, 54.000, 0%
2021-09-06 21:20:42, 30.182, 54.562, 54.000, 0%
2021-09-06 21:20:44, 30.182, 54.625, 54.000, 0%
2021-09-06 21:20:46, 30.183, 54.750, 54.000, 0%
2021-09-06 21:20:48, 30.183, 54.750, 54.000, 0%
2021-09-06 21:20:50, 30.184, 54.750, 54.000, 0%
2021-09-06 21:20:52, 30.184, 54.812, 57.000, 100%
2021-09-06 21:20:54, 30.183, 54.812, 57.000, 100%
2021-09-06 21:20:56, 30.183, 54.875, 57.000, 100%
2021-09-06 21:20:58, 30.183, 54.938, 57.000, 100%
2021-09-06 21:21:00, 30.183, 54.938, 57.000, 100%
2021-09-06 21:21:02, 30.183, 55.188, 57.000, 0%
2021-09-06 21:21:04, 30.183, 55.438, 57.000, 0%
2021-09-06 21:21:06, 30.184, 55.438, 57.000, 0%
2021-09-06 21:21:08, 30.184, 55.688, 57.000, 0%
2021-09-06 21:21:10, 30.184, 55.875, 57.000, 0%
2021-09-06 21:21:12, 30.185, 55.875, 57.000, 0%
2021-09-06 21:21:14, 30.185, 56.062, 57.000, 0%
2021-09-06 21:21:16, 30.186, 56.250, 57.000, 0%
2021-09-06 21:21:18, 30.187, 56.250, 57.000, 0%
2021-09-06 21:21:20, 30.187, 56.562, 57.000, 0%
2021-09-06 21:21:22, 30.187, 56.750, 57.000, 0%
2021-09-06 21:21:24, 30.187, 56.750, 57.000, 0%
2021-09-06 21:21:26, 30.186, 56.812, 57.000, 0%
2021-09-06 21:21:28, 30.186, 56.938, 57.000, 0%
2021-09-06 21:21:30, 30.186, 56.938, 57.000, 0%
2021-09-06 21:21:32, 30.186, 57.000, 57.000, 0%
2021-09-06 21:21:34, 30.187, 57.125, 57.000, 0%
2021-09-06 21:21:36, 30.187, 57.125, 57.000, 0%
2021-09-06 21:21:38, 30.187, 57.250, 57.000, 0%
2021-09-06 21:21:40, 30.187, 57.250, 57.000, 0%
2021-09-06 21:21:42, 30.187, 57.250, 57.000, 0%
2021-09-06 21:21:44, 30.187, 57.312, 57.000, 0%
2021-09-06 21:21:46, 30.187, 57.375, 57.000, 0%
2021-09-06 21:21:48, 30.187, 57.375, 57.000, 0%
2021-09-06 21:21:50, 30.187, 57.375, 57.000, 0%
2021-09-06 21:21:52, 30.187, 57.375, 57.000, 0%
2021-09-06 21:21:54, 30.187, 57.375, 57.000, 0%
2021-09-06 21:21:56, 30.187, 57.375, 57.000, 0%
2021-09-06 21:21:58, 30.187, 57.375, 57.000, 0%
2021-09-06 21:22:00, 30.187, 57.375, 57.000, 0%
2021-09-06 21:22:02, 30.186, 57.375, 57.000, 0%
2021-09-06 21:22:04, 30.186, 57.375, 57.000, 0%
2021-09-06 21:22:06, 30.185, 57.375, 57.000, 0%
2021-09-06 21:22:08, 30.185, 57.312, 57.000, 0%
2021-09-06 21:22:10, 30.185, 57.250, 57.000, 0%
2021-09-06 21:22:12, 30.184, 57.250, 57.000, 0%
2021-09-06 21:22:14, 30.185, 57.188, 57.000, 0%
2021-09-06 21:22:16, 30.185, 57.125, 57.000, 0%
2021-09-06 21:22:18, 30.184, 57.125, 57.000, 0%
2021-09-06 21:22:20, 30.184, 57.062, 57.000, 0%
2021-09-06 21:22:22, 30.184, 57.000, 57.000, 0%
2021-09-06 21:22:24, 30.184, 57.000, 57.000, 0%
2021-09-06 21:22:26, 30.184, 57.000, 57.000, 0%
2021-09-06 21:22:28, 30.184, 56.875, 57.000, 0%
2021-09-06 21:22:30, 30.183, 56.875, 57.000, 0%
2021-09-06 21:22:32, 30.183, 56.812, 57.000, 0%
2021-09-06 21:22:34, 30.182, 56.750, 57.000, 0%
2021-09-06 21:22:36, 30.180, 56.750, 57.000, 0%
2021-09-06 21:22:38, 30.179, 56.688, 57.000, 0%
2021-09-06 21:22:40, 30.178, 56.625, 57.000, 0%
2021-09-06 21:22:42, 30.177, 56.625, 57.000, 0%
2021-09-06 21:22:44, 30.176, 56.500, 57.000, 0%
2021-09-06 21:22:46, 30.175, 56.312, 57.000, 0%
2021-09-06 21:22:48, 30.174, 56.312, 57.000, 0%
2021-09-06 21:22:50, 30.173, 56.250, 57.000, 0%
2021-09-06 21:22:52, 30.172, 56.188, 57.000, 0%
2021-09-06 21:22:54, 30.171, 56.188, 57.000, 0%
2021-09-06 21:22:56, 30.170, 56.125, 57.000, 0%
2021-09-06 21:22:58, 30.169, 56.000, 57.000, 0%
2021-09-06 21:23:00, 30.167, 56.000, 57.000, 0%
2021-09-06 21:23:02, 30.167, 55.938, 57.000, 0%
2021-09-06 21:23:04, 30.165, 55.750, 57.000, 0%
2021-09-06 21:23:06, 30.164, 55.750, 57.000, 0%
2021-09-06 21:23:08, 30.163, 55.625, 57.000, 0%
2021-09-06 21:23:10, 30.162, 55.500, 57.000, 0%
2021-09-06 21:23:12, 30.161, 55.500, 57.000, 0%
2021-09-06 21:23:14, 30.159, 55.438, 57.000, 0%
2021-09-06 21:23:16, 30.158, 55.312, 57.000, 0%
2021-09-06 21:23:18, 30.156, 55.312, 57.000, 0%
2021-09-06 21:23:20, 30.155, 55.250, 57.000, 0%
2021-09-06 21:23:22, 30.154, 55.125, 57.000, 0%
2021-09-06 21:23:24, 30.153, 55.125, 57.000, 0%
2021-09-06 21:23:26, 30.152, 55.000, 57.000, 0%
2021-09-06 21:23:28, 30.150, 54.875, 57.000, 100%
2021-09-06 21:23:30, 30.149, 54.875, 57.000, 100%
2021-09-06 21:23:32, 30.148, 54.812, 57.000, 100%
2021-09-06 21:23:34, 30.146, 54.750, 57.000, 100%
2021-09-06 21:23:36, 30.145, 54.750, 57.000, 100%
2021-09-06 21:23:38, 30.144, 54.750, 57.000, 100%
2021-09-06 21:23:40, 30.144, 54.938, 57.000, 100%
2021-09-06 21:23:42, 30.143, 54.938, 57.000, 100%
2021-09-06 21:23:44, 30.143, 55.125, 57.000, 0%
2021-09-06 21:23:46, 30.143, 55.375, 57.000, 0%
2021-09-06 21:23:48, 30.143, 55.375, 57.000, 0%
2021-09-06 21:23:50, 30.144, 55.562, 57.000, 0%
2021-09-06 21:23:52, 30.145, 55.812, 57.000, 0%
2021-09-06 21:23:54, 30.145, 55.812, 57.000, 0%
2021-09-06 21:23:56, 30.146, 56.000, 57.000, 0%
2021-09-06 21:23:58, 30.146, 56.438, 57.000, 0%
2021-09-06 21:24:00, 30.147, 56.438, 57.000, 0%
2021-09-06 21:24:02, 30.147, 56.562, 57.000, 0%
2021-09-06 21:24:04, 30.147, 56.688, 57.000, 0%
2021-09-06 21:24:06, 30.147, 56.688, 57.000, 0%
2021-09-06 21:24:08, 30.148, 56.875, 57.000, 0%
2021-09-06 21:24:10, 30.148, 56.938, 57.000, 0%
2021-09-06 21:24:12, 30.148, 56.938, 57.000, 0%
2021-09-06 21:24:14, 30.149, 57.125, 57.000, 0%
