Data/Hora, Temperatura Externa, Temperatura Interna, Temperatura Referencia, Sinal de Controle
2021-09-07 16:52:21, 32.639, 63.938, 55.000, -100%
2021-09-07 16:52:23, 32.643, 63.500, 55.000, -100%
2021-09-07 16:52:25, 32.646, 63.500, 55.000, -100%
2021-09-07 16:52:27, 32.649, 63.188, 55.000, -100%
2021-09-07 16:52:29, 32.652, 62.750, 55.000, -100%
2021-09-07 16:52:31, 32.656, 62.375, 55.000, -100%
2021-09-07 16:52:33, 32.658, 62.000, 55.000, -100%
2021-09-07 16:52:35, 32.661, 62.000, 55.000, -100%
2021-09-07 16:52:37, 32.663, 61.562, 55.000, -100%
2021-09-07 16:52:39, 32.665, 61.188, 55.000, -100%
2021-09-07 16:52:41, 32.666, 60.812, 55.000, -100%
2021-09-07 16:52:43, 32.667, 60.812, 55.000, -100%
2021-09-07 16:52:45, 32.668, 60.438, 55.000, -100%
2021-09-07 16:52:47, 32.670, 60.062, 55.000, -100%
2021-09-07 16:52:49, 32.671, 59.688, 55.000, -100%
2021-09-07 16:52:51, 32.673, 59.312, 55.000, -100%
2021-09-07 16:52:53, 32.676, 59.312, 55.000, -100%
2021-09-07 16:52:55, 32.678, 59.000, 55.000, -100%
2021-09-07 16:52:57, 32.681, 58.625, 55.000, -100%
2021-09-07 16:52:59, 32.683, 58.250, 55.000, -100%
2021-09-07 16:53:01, 32.686, 58.250, 55.000, -100%
2021-09-07 16:53:03, 32.687, 57.875, 55.000, -100%
2021-09-07 16:53:05, 32.689, 57.500, 55.000, -100%
2021-09-07 16:53:07, 32.692, 57.125, 55.000, -100%
2021-09-07 16:53:09, 32.692, 56.750, 55.000, -100%
2021-09-07 16:53:11, 32.694, 56.750, 55.000, -100%
2021-09-07 16:53:13, 32.695, 56.438, 55.000, -100%
2021-09-07 16:53:15, 32.697, 56.125, 55.000, -100%
2021-09-07 16:53:17, 32.697, 55.750, 55.000, -100%
2021-09-07 16:53:19, 32.698, 55.750, 55.000, -100%
2021-09-07 16:53:21, 32.699, 55.375, 55.000, -100%
2021-09-07 16:53:23, 32.700, 55.062, 55.000, -100%
2021-09-07 16:53:25, 32.701, 54.750, 55.000, -100%
2021-09-07 16:53:27, 32.701, 54.500, 55.000, -98%
2021-09-07 16:53:29, 32.701, 54.500, 55.000, -96%
2021-09-07 16:53:31, 32.702, 54.250, 55.000, -95%
2021-09-07 16:53:33, 32.703, 54.000, 55.000, -92%
2021-09-07 16:53:35, 32.703, 53.812, 55.000, -89%
2021-09-07 16:53:37, 32.703, 53.625, 55.000, -85%
2021-09-07 16:53:39, 32.703, 53.625, 55.000, -82%
2021-09-07 16:53:41, 32.702, 53.438, 55.000, -79%
2021-09-07 16:53:43, 32.702, 53.250, 55.000, -75%
2021-09-07 16:53:45, 32.700, 53.062, 55.000, -70%
2021-09-07 16:53:47, 32.699, 53.062, 55.000, -65%
2021-09-07 16:53:49, 32.698, 52.875, 55.000, -62%
2021-09-07 16:53:51, 32.696, 52.750, 55.000, -56%
2021-09-07 16:53:53, 32.696, 52.562, 55.000, -51%
2021-09-07 16:53:55, 32.696, 52.375, 55.000, -45%
2021-09-07 16:53:57, 32.696, 52.375, 55.000, -39%
2021-09-07 16:53:59, 32.695, 52.250, 55.000, -34%
2021-09-07 16:54:01, 32.694, 52.188, 55.000, -28%
2021-09-07 16:54:03, 32.694, 52.188, 55.000, -22%
2021-09-07 16:54:05, 32.693, 52.188, 55.000, -16%
2021-09-07 16:54:07, 32.692, 52.188, 55.000, -11%
2021-09-07 16:54:09, 32.689, 52.188, 55.000, -5%
